Disease,Medicine,Precautions,Diet
Fungal infection,"Antifungal cream (Clotrimazole, Miconazole), Fluconazole tablets","Keep affected area clean and dry, Avoid sharing personal items, Wear breathable fabrics","Avoid sugar, Include probiotics, Increase garlic and yogurt"
Allergy,"Antihistamines (Cetirizine, Loratadine), Nasal spray","Identify and avoid triggers, Keep windows closed during pollen season","Avoid allergen foods, Include Vitamin C, Stay hydrated"
GERD,"Antacids (Omeprazole, Pantoprazole), H2 blockers","Avoid lying down after meals, Elevate head while sleeping, Eat small frequent meals","Avoid spicy/fatty foods, No caffeine, Include bananas and oatmeal"
Chronic cholestasis,"Ursodeoxycholic acid, Vitamin supplements","Regular liver function tests, Avoid alcohol","Low-fat diet, Include leafy greens, Avoid processed foods"
Drug Reaction,"Antihistamines, Corticosteroids, Stop trigger medication","Inform doctor immediately, Carry allergy card","Stay hydrated, Light diet, Avoid alcohol"
Peptic ulcer diseae,"Proton pump inhibitors (Pantoprazole), Antibiotics (if H.pylori)","Avoid NSAIDs, No smoking/alcohol, Stress management","Avoid spicy foods, Include probiotics, Small frequent meals"
AIDS,"Antiretroviral therapy (ART), Immune boosters","Regular CD4 count monitoring, Practice safe measures","High protein diet, Include fruits/vegetables, Stay hydrated"
Diabetes,"Metformin, Insulin, Glimepiride","Regular blood sugar monitoring, Foot care, Eye checkups","Low carb diet, Avoid sugar, Include fiber-rich foods"
Gastroenteritis,"ORS, Probiotics, Anti-emetics","Stay hydrated, Hand hygiene, Rest","BRAT diet (Banana, Rice, Applesauce, Toast), Avoid dairy initially"
Bronchial Asthma,"Inhalers (Salbutamol), Corticosteroids, Montelukast","Avoid triggers, Keep inhaler handy, Regular checkups","Avoid cold foods, Include omega-3, Stay hydrated"
Hypertension,"ACE inhibitors (Enalapril), Beta blockers, Diuretics","Regular BP monitoring, Reduce salt, Exercise daily","Low sodium diet, Include potassium-rich foods, Avoid alcohol"
Migraine,"Painkillers (Sumatriptan), Beta blockers, Anti-nausea medication","Avoid triggers, Maintain sleep schedule, Stay hydrated","Avoid cheese/chocolate, Regular meals, Include magnesium"
Cervical spondylosis,"NSAIDs (Ibuprofen), Muscle relaxants, Physiotherapy","Neck exercises, Correct posture, Avoid heavy lifting","Anti-inflammatory foods, Include turmeric, Avoid junk food"
Paralysis (brain hemorrhage),"Anticoagulants, Physiotherapy, Speech therapy","Regular rehabilitation, Blood pressure control","Soft diet initially, Include omega-3, Low sodium"
Jaundice,"Hepatoprotective drugs, Vitamin K, Rest","Avoid alcohol, No self-medication, Regular tests","Light easily digestible food, Include fluids, Avoid oily foods"
Malaria,"Antimalarials (Artemisinin, Chloroquine), Antipyretics","Complete medication course, Use mosquito nets, Rest","Fluids, Light diet, Include papaya leaves juice"
Chicken pox,"Antiviral (Acyclovir), Calamine lotion, Antipyretics","Isolation for 7-10 days, Avoid scratching, Keep nails short","Soft bland diet, Stay hydrated, Avoid sour foods"
Dengue,"Antipyretics (Paracetamol only), IV fluids","Platelet count monitoring, Rest, Avoid NSAIDs","Fluids (ORS, coconut water), Papaya leaf juice, Light diet"
Typhoid,"Antibiotics (Ciprofloxacin, Azithromycin), Antipyretics","Complete antibiotic course, Rest, Hygiene","Soft bland diet, Stay hydrated, Avoid raw foods"
hepatitis A,"Rest, Hepatoprotective drugs, Vitamin supplements","Avoid alcohol, Hand hygiene, No self-medication","Low-fat diet, Include fruits/vegetables, Stay hydrated"
Hepatitis B,"Antiviral (Tenofovir, Entecavir), Liver support","Regular monitoring, Vaccination for family, Avoid alcohol","Balanced diet, Low fat, Include antioxidants"
Hepatitis C,"Direct-acting antivirals (Sofosbuvir), Liver support","Regular monitoring, Avoid alcohol, Safe practices","Balanced diet, Low fat, Stay hydrated"
Hepatitis D,"Interferon therapy, Antiviral drugs","Regular monitoring, Avoid alcohol","Balanced diet, Low fat, Include proteins"
Hepatitis E,"Rest, Symptomatic treatment, Hydration","Avoid contaminated water, Rest, Hygiene","Light diet, Stay hydrated, Avoid oily foods"
Alcoholic hepatitis,"Stop alcohol, Corticosteroids, Nutritional support","Complete abstinence, Regular monitoring","High protein, Low sodium, Include vitamins"
Tuberculosis,"Antibiotics (Rifampicin, Isoniazid, Pyrazinamide), Vitamin B6","Complete 6-month course, Mask in public, Isolation initially","High protein, Include fruits/vegetables, Avoid alcohol"
Common Cold,"Decongestants, Antihistamines, Paracetamol","Rest, Cover while sneezing, Stay warm","Warm fluids, Include Vitamin C, Avoid cold foods"
Pneumonia,"Antibiotics (Azithromycin, Amoxicillin), Antipyretics","Rest, Complete medication, Breathing exercises","Warm fluids, High protein, Include vegetables"
Dimorphic hemmorhoids(piles),"Stool softeners, Pain relievers, Fiber supplements, Surgery if severe","High fiber diet, Sitz bath, Avoid straining","Include fiber, Stay hydrated, Avoid spicy foods"
Heart attack,"Aspirin, Clot busters, Beta blockers, Angioplasty","Emergency hospitalization, Regular checkups, Lifestyle changes","Low fat low salt, Include omega-3, Avoid trans fats"
Varicose veins,"Compression stockings, Sclerotherapy, Surgery","Leg elevation, Exercise, Avoid prolonged standing","Balanced diet, Include fiber, Maintain healthy weight"
Hypothyroidism,"Levothyroxine, Thyroid hormone replacement","Daily medication, Regular TSH tests, Morning dose on empty stomach","Iodine-rich foods, Avoid soy excess, Include selenium"
Hyperthyroidism,"Antithyroid drugs (Methimazole), Beta blockers, Radioactive iodine","Regular thyroid function tests, Avoid iodine excess","Balanced diet, Include calcium, Avoid caffeine"
Hypoglycemia,"Glucose tablets, Sweet juice, Emergency glucagon","Regular meals, Monitor blood sugar, Carry sugar","Include complex carbs, Regular meals, Avoid skipping meals"
Osteoarthristis,"NSAIDs (Ibuprofen), Glucosamine, Physiotherapy","Weight management, Exercise, Joint protection","Anti-inflammatory diet, Include omega-3, Maintain healthy weight"
Arthritis,"DMARDs (Methotrexate), NSAIDs, Corticosteroids","Regular exercise, Physiotherapy, Joint protection","Anti-inflammatory foods, Include turmeric, Omega-3"
(vertigo) Paroymsal  Positional Vertigo,"Antivertigo drugs (Betahistine), Vestibular exercises","Avoid sudden head movements, Stay safe during episodes","Stay hydrated, Avoid caffeine, Low salt"
Acne,"Topical retinoids, Antibiotics, Benzoyl peroxide","Keep face clean, Don't squeeze, Change pillowcases","Avoid oily foods, Include zinc, Stay hydrated"
Urinary tract infection,"Antibiotics (Nitrofurantoin, Ciprofloxacin), Pain relievers","Complete antibiotic course, Stay hydrated, Hygiene","Increase water intake, Include cranberry, Avoid irritants"
Psoriasis,"Topical corticosteroids, Vitamin D analogs, Moisturizers","Keep skin moisturized, Avoid triggers, Stress management","Anti-inflammatory diet, Include omega-3, Avoid alcohol"
Impetigo,"Topical antibiotics (Mupirocin), Oral antibiotics if severe","Keep area clean, Don't share towels, Cover sores","Balanced diet, Include proteins, Stay hydrated"
